Sl_No,Equipment,Activity_Description,Frequency,Last_Activity_Date,Next_Activity_Date,Duration (hours)
1,Compressor-38,Test pressure relief valves,Quarterly,2025-01-06 18:42:59,2025-01-06 08:56:31,4
2,Compressor-38,Monitor temperature levels,Annually,2025-01-04 03:45:36,2025-01-11 07:23:54,5
3,Turbine-20,Check vibration levels and balance,Monthly,2025-01-01 10:27:17,2025-01-18 13:21:20,3
4,Turbine-20,Check vibration levels and balance,Daily,2025-01-26 17:04:37,2025-01-11 09:35:21,5
5,Compressor-38,Inspect for air leaks,Weekly,2025-01-20 01:17:50,2025-01-15 16:14:13,5
6,Pump-1,Test pressure levels,Daily,2025-01-15 12:32:16,2025-01-23 10:22:30,2
7,Compressor-38,Test pressure relief valves,Quarterly,2025-01-18 04:17:49,2025-01-10 05:29:18,3
8,Turbine-20,Examine control system performance,Monthly,2025-01-07 18:18:57,2025-01-27 14:11:07,3
9,Compressor-38,Test pressure relief valves,Monthly,2025-01-23 06:41:46,2025-01-18 00:51:14,3
10,Pump-1,Lubricate pump bearings,Annually,2025-01-11 05:07:41,2025-01-23 11:03:46,5
11,Compressor-38,Check air filters and replace if necessary,Quarterly,2025-01-16 23:03:57,2025-01-04 00:30:33,4
12,Compressor-38,Monitor temperature levels,Annually,2025-01-05 02:42:05,2025-01-24 03:21:13,3
13,Turbine-20,Examine control system performance,Quarterly,2025-01-09 17:03:52,2025-01-28 22:15:56,5
14,Turbine-20,Check vibration levels and balance,Quarterly,2025-01-10 18:34:13,2025-01-30 10:29:44,2
15,Pump-1,Check pump seals for leaks,Weekly,2025-01-28 13:33:38,2025-01-06 09:47:35,4
16,Compressor-38,Clean and lubricate moving parts,Quarterly,2025-01-29 22:09:07,2025-01-31 03:41:31,2
17,Turbine-20,Check vibration levels and balance,Weekly,2025-01-07 08:51:17,2025-01-13 16:06:12,4
18,Compressor-38,Test pressure relief valves,Monthly,2025-01-19 09:21:03,2025-01-08 20:13:54,5
19,Pump-1,Inspect motor alignment,Annually,2025-01-29 05:12:31,2025-01-13 00:02:09,1
20,Compressor-38,Check air filters and replace if necessary,Weekly,2025-01-14 02:40:58,2025-01-21 03:32:37,4
21,Compressor-38,Check air filters and replace if necessary,Daily,2025-01-17 03:10:06,2025-01-23 20:51:02,2
22,Compressor-38,Monitor temperature levels,Annually,2025-01-31 10:30:21,2025-01-06 17:30:15,5
23,Turbine-20,Check vibration levels and balance,Daily,2025-01-08 14:09:06,2025-01-20 18:20:05,4
24,Pump-1,Inspect motor alignment,Daily,2025-01-17 17:13:59,2025-01-24 03:53:19,1
25,Compressor-38,Inspect for air leaks,Quarterly,2025-01-03 11:27:11,2025-01-03 15:02:10,1
